"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0.364","0.0789","1","-19.392","1","0.0543","0.821","0.0342","0.0667","0.318","136.461","139133","3"
"0.478","0.272","0","-19.593","1","0.0454","0.749","0.836","0.144","0.549","114.171","125693","4"
"0.196","0.0673","6","-25.98","1","0.0341","0.879","0.34","0.246","0.145","86.275","147560","3"
"0.306","0.000634","11","-43.244","1","0.0482","0.995","0.88","0.0904","0.0935","66.325","214613","4"
"0.246","0.0491","4","-24.478","1","0.0376","0.99","0.917","0.0911","0.0344","73.809","441133","3"
"0.507","0.0112","9","-26.899","1","0.0699","0.989","0.918","0.0839","0.0399","97.06","366667","3"
"0.298","0.0197","8","-27.807","1","0.0398","0.992","0.882","0.174","0.0332","176.166","793653","4"
"0.291","0.108","10","-20.741","1","0.0394","0.987","0.892","0.0889","0.0386","77.513","336373","3"
"0.391","0.00394","11","-31.191","0","0.0495","0.995","0.937","0.0989","0.168","80.208","477250","4"
"0.289","0.25","5","-20.109","0","0.0372","0.99","0.882","0.112","0.039","144.783","211267","3"
"0.471","0.216","9","-21.137","0","0.0558","0.994","0.852","0.0897","0.347","92.132","115880","4"
"0.204","0.015","0","-44.727","1","0.0362","0.978","0.929","0.142","0.0548","72.704","45933","1"
"0.363","0.00145","1","-41.335","1","0.0425","0.992","0.615","0.116","0.448","63.477","49467","4"
"0.304","0.254","6","-23.575","1","0.0395","0.987","0.889","0.0791","0.777","67.833","228240","4"
"0.618","0.00123","4","-34.374","1","0.201","0.961","0.271","0.0669","0.431","70.162","262347","4"
"0.347","0.224","10","-20.858","1","0.0358","0.986","0.915","0.115","0.254","106.129","500453","4"
"0.582","0.000395","11","-43.711","1","0.271","0.963","0.0901","0.085","0","103.668","53760","4"
"0.237","0.144","0","-23.163","0","0.0408","0.993","0.896","0.11","0.507","82.835","223227","4"
"0.378","0.00553","4","-30.861","0","0.0759","0.995","0.946","0.0627","0.102","67.129","389280","5"
"0.182","0.0159","11","-29.165","0","0.0433","0.994","0.903","0.0757","0.0513","62.746","277600","3"
"0.279","0.0342","11","-29.696","0","0.0361","0.994","0.911","0.104","0.169","87.781","119520","4"
"0.408","0.00195","1","-41.513","1","0.047","0.979","0.766","0.0715","0.106","82.42","122920","4"
"0.306","0.00707","10","-34.125","1","0.0421","0.995","0.906","0.109","0.119","70.325","186533","4"
"0.413","0.0523","3","-25.08","1","0.0535","0.957","0.918","0.063","0.08","102.563","319320","4"
"0.394","0.0336","4","-23.732","0","0.0415","0.986","0.919","0.0723","0.0398","66.636","158053","3"
"0.407","0.212","10","-21.541","1","0.0373","0.991","0.879","0.0993","0.382","88.213","333293","4"
"0.38","0.115","5","-22.897","1","0.0515","0.992","0.9","0.0844","0.21","129.473","135360","4"
"0.422","0.14","2","-20.818","0","0.0359","0.987","0.91","0.053","0.174","106.62","550827","4"
"0.395","0.0456","10","-26.772","0","0.0454","0.994","0.873","0.0973","0.185","116.223","274787","4"
"0.396","0.111","5","-22.536","1","0.0472","0.988","0.872","0.128","0.144","77.148","294520","4"
"0.369","0.0206","1","-26.218","1","0.037","0.995","0.888","0.109","0.0374","131.913","375360","4"
"0.522","0.0507","2","-25.674","1","0.0479","0.994","0.88","0.0788","0.44","111.412","197307","4"
"0.437","0.272","0","-18.77","0","0.0372","0.967","0.913","0.0452","0.461","96.357","321947","4"
"0.346","0.218","2","-17.68","0","0.0402","0.97","0.114","0.0574","0.124","132.348","377200","4"
"0.316","0.341","3","-13.664","1","0.0588","0.965","0.000149","0.481","0.444","87.229","190173","4"
"0.189","0.114","0","-23.119","1","0.0565","0.988","0.000786","0.17","0.04","73.602","265760","1"
"0.179","0.0597","2","-23.852","1","0.052","0.597","0.0000739","0.56","0.0383","82.234","556907","4"
"0.23","0.104","8","-23.709","1","0.0651","0.974","0.00107","0.146","0.0367","178.235","502040","4"
"0.268","0.0729","1","-24.554","1","0.0448","0.982","0.0024","0.131","0.0398","131.507","531250","3"
"0.23","0.235","5","-16.011","0","0.0574","0.949","0.000854","0.508","0.0436","80.18","568240","4"
"0.246","0.147","8","-20.715","1","0.0454","0.988","0.0148","0.425","0.0391","75.109","285733","3"
"0.161","0.0353","6","-24.558","1","0.0458","0.576","0.0000438","0.641","0.0393","82.694","300200","3"
"0.285","0.135","2","-19.17","0","0.0651","0.968","0.00923","0.21","0.135","147.095","171200","3"
"0.304","0.182","11","-27.861","1","0.551","0.959","0.0000295","0.674","0.0644","98.448","316987","4"
"0.234","0.133","5","-15.602","0","0.0419","0.976","0.569","0.136","0.0394","65.621","180547","3"
"0.201","0.194","1","-17.975","1","0.0475","0.949","0.00611","0.0929","0.0749","168.757","705824","5"
"0.155","0.0257","0","-28.712","1","0.0372","0.966","0.102","0.419","0.0396","83.337","126160","4"
"0.369","0.119","5","-20.305","0","0.0476","0.868","0.826","0.377","0.26","146.37","379667","4"
"0.213","0.0603","7","-23.161","1","0.0481","0.95","0.00108","0.0929","0.0395","171.28","231547","3"
"0.644","0.0495","9","-20.5","1","0.054","0.947","0","0.177","0.645","116.443","215066","4"
"0.161","0.068","5","-24.34","0","0.0416","0.971","0.373","0.101","0.0318","72.683","256827","3"
"0.166","0.0144","10","-28.753","1","0.0421","0.938","0.00192","0.0793","0.0402","99.771","416173","4"
"0.294","0.282","8","-14.912","1","0.0678","0.975","0.00000645","0.704","0.182","86.862","293400","3"
"0.191","0.0766","2","-22.998","1","0.0548","0.972","0.0000787","0.138","0.0358","84.64","318653","1"
"0.416","0.134","2","-21.133","0","0.0732","0.979","0.00113","0.0992","0.105","85.125","322760","4"
"0.215","0.262","7","-13.525","0","0.0425","0.976","0.445","0.288","0.0922","75.554","391747","4"
"0.309","0.0562","5","-31.473","0","0.0868","0.894","0.000124","0.126","0.281","172.214","201733","3"
"0.311","0.103","10","-22.747","1","0.049","0.972","0.0000389","0.412","0.0386","76.541","396333","4"
"0.216","0.0309","8","-28.32","1","0.0528","0.945","0.0000918","0.542","0.0567","173.874","241840","3"
"0.292","0.0406","7","-28.674","1","0.0417","0.951","0.00151","0.487","0.0401","114.267","319867","4"
"0.188","0.456","2","-14.81","0","0.0523","0.905","0.912","0.146","0.0372","139.503","181440","3"
"0.327","0.137","0","-21.151","0","0.0497","0.948","0.000343","0.0727","0.0666","134.308","452080","4"
"0.418","0.119","9","-23.568","0","0.19","0.937","0.0000142","0.5","0.14","97.893","343360","4"
"0.258","0.127","0","-15.942","0","0.035","0.951","0.907","0.161","0.0525","102.762","926660","4"
"0.292","0.164","1","-17.792","1","0.0342","0.912","0.0296","0.177","0.284","149.46","377200","4"
"0.0798","0.197","0","-15.453","1","0.0404","0.929","0.927","0.383","0.034","82.476","1615000","4"
"0.485","0.457","2","-14.464","0","0.104","0.869","0.858","0.154","0.349","135.662","275180","4"
"0.374","0.251","2","-14.249","1","0.0348","0.964","0.884","0.166","0.236","133.837","349267","3"
"0.067","0.0503","0","-27.185","1","0.0423","0.961","0.857","0.0917","0.0351","72.665","1383000","4"
"0.122","0.0458","9","-23.494","0","0.0381","0.963","0.876","0.105","0.0361","81.402","628467","4"
"0.155","0.235","2","-22.332","1","0.0463","0.904","0.835","0.0841","0.104","66.681","1217067","4"
"0.23","0.126","1","-19.755","1","0.0422","0.902","0.708","0.0857","0.0376","74.756","1163093","4"
"0.207","0.102","1","-17.365","1","0.0384","0.974","0.542","0.104","0.303","82.319","181200","4"
"0.134","0.0922","2","-21.503","1","0.0348","0.887","0.541","0.0793","0.0537","79.389","596227","4"
"0.138","0.114","7","-21.041","1","0.0347","0.931","0.909","0.0431","0.0387","148.02","794000","4"
"0.42","0.198","10","-22.692","1","0.0427","0.87","0.679","0.0651","0.284","127.555","497279","4"
"0.472","0.0614","4","-22.876","0","0.0315","0.914","0.263","0.137","0.502","96.265","264173","4"
"0.128","0.0792","9","-21.491","0","0.0407","0.943","0.9","0.0863","0.0421","84.728","907173","4"
"0.26","0.096","4","-22.931","1","0.0481","0.879","0.816","0.727","0.103","140.429","724600","4"
"0.306","0.385","11","-19.495","1","0.0684","0.952","0.726","0.11","0.0395","140.373","378360","3"
"0.0938","0.116","8","-19.97","1","0.0385","0.96","0.868","0.12","0.0562","80.82","1197373","5"
"0.172","0.042","0","-26.26","1","0.0385","0.842","0.0214","0.605","0.179","82.724","311093","3"
"0.0718","0.0512","3","-32.898","0","0.0402","0.896","0.147","0.162","0.0372","77.799","400320","5"
"0.474","0.205","5","-18.179","1","0.0378","0.931","0.762","0.0761","0.191","126.588","506706","4"
"0.11","0.124","4","-19.495","0","0.0374","0.554","0.773","0.197","0.0331","93.035","1607333","4"
